<Rules>,,,,,,,,,,,,
Colors,11,D,E,F,G,H,I,J,K,L,M,N
Clarities,10,VVS1,VVS2,VS1,VS2,SI1,SI2,SI3,I1,I2,I3,
EX,VVS2,G,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,G,1.9856,2.0355,4.9,Diameter,,,,,,
EX,VS2,G,1.9856,2.0355,4.35,Diameter,,,,,,
EX,SI1,G,1.9856,2.0355,4.2,Diameter,,,,,,
EX,SI2,G,1.9856,2.0355,3.85,Diameter,,,,,,
EX,SI3,G,1.9856,2.0355,3.3,Diameter,,,,,,
EX,I1,G,1.9856,2.0355,2.95,Diameter,,,,,,
EX,I2,G,1.9856,2.0355,2.35,Diameter,,,,,,
EX,I3,G,1.9856,2.0355,2,Diameter,,,,,,
EX,VVS1,H,1.9856,2.0355,5.3,Diameter,,,,,,
EX,VVS2,H,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,H,1.9856,2.0355,4.25,Diameter,,,,,,
EX,VS2,H,1.9856,2.0355,4.1,Diameter,,,,,,
EX,SI1,H,1.9856,2.0355,3.7,Diameter,,,,,,
EX,SI2,H,1.9856,2.0355,3.4,Diameter,,,,,,
EX,SI3,H,1.9856,2.0355,2.95,Diameter,,,,,,
EX,I1,H,1.9856,2.0355,2.55,Diameter,,,,,,
EX,I2,H,1.9856,2.0355,2.2,Diameter,,,,,,
EX,I3,H,1.9856,2.0355,1.7,Diameter,,,,,,
EX,VVS1,I,1.9856,2.0355,5.3,Diameter,,,,,,
EX,VVS2,I,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,I,1.9856,2.0355,4.25,Diameter,,,,,,
EX,VS2,I,1.9856,2.0355,4.1,Diameter,,,,,,
EX,SI1,I,1.9856,2.0355,3.7,Diameter,,,,,,
EX,SI2,I,1.9856,2.0355,3.4,Diameter,,,,,,
EX,SI3,I,1.9856,2.0355,2.95,Diameter,,,,,,
EX,I1,I,1.9856,2.0355,2.55,Diameter,,,,,,
EX,I2,I,1.9856,2.0355,2.2,Diameter,,,,,,
EX,I3,I,1.9856,2.0355,1.7,Diameter,,,,,,
EX,VVS1,J,1.9856,2.0355,4.15,Diameter,,,,,,
EX,VVS2,J,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,J,1.9856,2.0355,4,Diameter,,,,,,
EX,VS2,J,1.9856,2.0355,3.7,Diameter,,,,,,
EX,SI1,J,1.9856,2.0355,3,Diameter,,,,,,
EX,SI2,J,1.9856,2.0355,2.8,Diameter,,,,,,
EX,SI3,J,1.9856,2.0355,2.3,Diameter,,,,,,
EX,I1,J,1.9856,2.0355,2.05,Diameter,,,,,,
EX,I2,J,1.9856,2.0355,1.6,Diameter,,,,,,
EX,I3,J,1.9856,2.0355,1.25,Diameter,,,,,,
EX,VVS1,K,1.9856,2.0355,4.15,Diameter,,,,,,
EX,VVS2,K,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,K,1.9856,2.0355,4,Diameter,,,,,,
EX,VS2,K,1.9856,2.0355,3.7,Diameter,,,,,,
EX,SI1,K,1.9856,2.0355,3,Diameter,,,,,,
EX,SI2,K,1.9856,2.0355,2.8,Diameter,,,,,,
EX,SI3,K,1.9856,2.0355,2.3,Diameter,,,,,,
EX,I1,K,1.9856,2.0355,2.05,Diameter,,,,,,
EX,I2,K,1.9856,2.0355,1.6,Diameter,,,,,,
EX,I3,K,1.9856,2.0355,1.25,Diameter,,,,,,
EX,VVS1,L,1.9856,2.0355,3,Diameter,,,,,,
EX,VVS2,L,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,L,1.9856,2.0355,2.8,Diameter,,,,,,
EX,VS2,L,1.9856,2.0355,2.5,Diameter,,,,,,
EX,SI1,L,1.9856,2.0355,2.1,Diameter,,,,,,
EX,SI2,L,1.9856,2.0355,2,Diameter,,,,,,
EX,SI3,L,1.9856,2.0355,1.6,Diameter,,,,,,
EX,I1,L,1.9856,2.0355,1.45,Diameter,,,,,,
EX,I2,L,1.9856,2.0355,1.15,Diameter,,,,,,
EX,I3,L,1.9856,2.0355,0.9,Diameter,,,,,,
EX,VVS1,M,1.9856,2.0355,3,Diameter,,,,,,
EX,VVS2,M,1.9856,2.0355,0.01,Diameter,,,,,,
EX,VS1,M,1.9856,2.0355,2.8,Diameter,,,,,,
EX,VS2,M,1.9856,2.0355,2.5,Diameter,,,,,,
EX,SI1,M,1.9856,2.0355,2.1,Diameter,,,,,,
EX,SI2,M,1.9856,2.0355,2,Diameter,,,,,,
EX,SI3,M,1.9856,2.0355,1.6,Diameter,,,,,,
EX,I1,M,1.9856,2.0355,1.45,Diameter,,,,,,
EX,I2,M,1.9856,2.0355,1.15,Diameter,,,,,,
EX,I3,M,1.9856,2.0355,0.9,Diameter,,,,,,
EX,VVS1,N,1.9856,2.0355,0,Diameter,,,,,,
EX,VVS2,N,1.9856,2.0355,0,Diameter,,,,,,
EX,VS1,N,1.9856,2.0355,0,Diameter,,,,,,
EX,VS2,N,1.9856,2.0355,0,Diameter,,,,,,
EX,SI1,N,1.9856,2.0355,0,Diameter,,,,,,
EX,SI2,N,1.9856,2.0355,0,Diameter,,,,,,
EX,SI3,N,1.9856,2.0355,0,Diameter,,,,,,
EX,I1,N,1.9856,2.0355,0,Diameter,,,,,,
EX,I2,N,1.9856,2.0355,0,Diameter,,,,,,
EX,I3,N,1.9856,2.0355,0,Diameter,,,,,,
EX,VVS1,D,2.0356,2.0855,6.85,Diameter,,,,,,
EX,VVS2,D,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,D,2.0356,2.0855,5.25,Diameter,,,,,,
EX,VS2,D,2.0356,2.0855,4.8,Diameter,,,,,,
EX,SI1,D,2.0356,2.0855,4.35,Diameter,,,,,,
EX,SI2,D,2.0356,2.0855,4,Diameter,,,,,,
EX,SI3,D,2.0356,2.0855,3.55,Diameter,,,,,,
EX,I1,D,2.0356,2.0855,3.2,Diameter,,,,,,
EX,I2,D,2.0356,2.0855,2.35,Diameter,,,,,,
EX,I3,D,2.0356,2.0855,2.2,Diameter,,,,,,
EX,VVS1,E,2.0356,2.0855,6.85,Diameter,,,,,,
EX,VVS2,E,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,E,2.0356,2.0855,5.25,Diameter,,,,,,
EX,VS2,E,2.0356,2.0855,4.8,Diameter,,,,,,
EX,SI1,E,2.0356,2.0855,4.35,Diameter,,,,,,
EX,SI2,E,2.0356,2.0855,4,Diameter,,,,,,
EX,SI3,E,2.0356,2.0855,3.55,Diameter,,,,,,
EX,I1,E,2.0356,2.0855,3.2,Diameter,,,,,,
EX,I2,E,2.0356,2.0855,2.35,Diameter,,,,,,
EX,I3,E,2.0356,2.0855,2.2,Diameter,,,,,,
EX,VVS1,F,2.0356,2.0855,6.4,Diameter,,,,,,
EX,VVS2,F,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,F,2.0356,2.0855,5,Diameter,,,,,,
EX,VS2,F,2.0356,2.0855,4.5,Diameter,,,,,,
EX,SI1,F,2.0356,2.0855,4.2,Diameter,,,,,,
EX,SI2,F,2.0356,2.0855,3.85,Diameter,,,,,,
EX,SI3,F,2.0356,2.0855,3.45,Diameter,,,,,,
EX,I1,F,2.0356,2.0855,3,Diameter,,,,,,
EX,I2,F,2.0356,2.0855,2.35,Diameter,,,,,,
EX,I3,F,2.0356,2.0855,2,Diameter,,,,,,
EX,VVS1,G,2.0356,2.0855,6.4,Diameter,,,,,,
EX,VVS2,G,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,G,2.0356,2.0855,5,Diameter,,,,,,
EX,VS2,G,2.0356,2.0855,4.5,Diameter,,,,,,
EX,SI1,G,2.0356,2.0855,4.2,Diameter,,,,,,
EX,SI2,G,2.0356,2.0855,3.85,Diameter,,,,,,
EX,SI3,G,2.0356,2.0855,3.45,Diameter,,,,,,
EX,I1,G,2.0356,2.0855,3,Diameter,,,,,,
EX,I2,G,2.0356,2.0855,2.35,Diameter,,,,,,
EX,I3,G,2.0356,2.0855,2,Diameter,,,,,,
EX,VVS1,H,2.0356,2.0855,5.3,Diameter,,,,,,
EX,VVS2,H,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,H,2.0356,2.0855,4.25,Diameter,,,,,,
EX,VS2,H,2.0356,2.0855,4.2,Diameter,,,,,,
EX,SI1,H,2.0356,2.0855,3.7,Diameter,,,,,,
EX,SI2,H,2.0356,2.0855,3.4,Diameter,,,,,,
EX,SI3,H,2.0356,2.0855,2.95,Diameter,,,,,,
EX,I1,H,2.0356,2.0855,2.55,Diameter,,,,,,
EX,I2,H,2.0356,2.0855,2.2,Diameter,,,,,,
EX,I3,H,2.0356,2.0855,1.7,Diameter,,,,,,
EX,VVS1,I,2.0356,2.0855,5.3,Diameter,,,,,,
EX,VVS2,I,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,I,2.0356,2.0855,4.25,Diameter,,,,,,
EX,VS2,I,2.0356,2.0855,4.2,Diameter,,,,,,
EX,SI1,I,2.0356,2.0855,3.7,Diameter,,,,,,
EX,SI2,I,2.0356,2.0855,3.4,Diameter,,,,,,
EX,SI3,I,2.0356,2.0855,2.95,Diameter,,,,,,
EX,I1,I,2.0356,2.0855,2.55,Diameter,,,,,,
EX,I2,I,2.0356,2.0855,2.2,Diameter,,,,,,
EX,I3,I,2.0356,2.0855,1.7,Diameter,,,,,,
EX,VVS1,J,2.0356,2.0855,4.45,Diameter,,,,,,
EX,VVS2,J,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,J,2.0356,2.0855,4.2,Diameter,,,,,,
EX,VS2,J,2.0356,2.0855,3.85,Diameter,,,,,,
EX,SI1,J,2.0356,2.0855,3,Diameter,,,,,,
EX,SI2,J,2.0356,2.0855,2.8,Diameter,,,,,,
EX,SI3,J,2.0356,2.0855,2.3,Diameter,,,,,,
EX,I1,J,2.0356,2.0855,2.05,Diameter,,,,,,
EX,I2,J,2.0356,2.0855,1.6,Diameter,,,,,,
EX,I3,J,2.0356,2.0855,1.25,Diameter,,,,,,
EX,VVS1,K,2.0356,2.0855,4.45,Diameter,,,,,,
EX,VVS2,K,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,K,2.0356,2.0855,4.2,Diameter,,,,,,
EX,VS2,K,2.0356,2.0855,3.85,Diameter,,,,,,
EX,SI1,K,2.0356,2.0855,3,Diameter,,,,,,
EX,SI2,K,2.0356,2.0855,2.8,Diameter,,,,,,
EX,SI3,K,2.0356,2.0855,2.3,Diameter,,,,,,
EX,I1,K,2.0356,2.0855,2.05,Diameter,,,,,,
EX,I2,K,2.0356,2.0855,1.6,Diameter,,,,,,
EX,I3,K,2.0356,2.0855,1.25,Diameter,,,,,,
EX,VVS1,L,2.0356,2.0855,3,Diameter,,,,,,
EX,VVS2,L,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,L,2.0356,2.0855,2.8,Diameter,,,,,,
EX,VS2,L,2.0356,2.0855,2.5,Diameter,,,,,,
EX,SI1,L,2.0356,2.0855,2.1,Diameter,,,,,,
EX,SI2,L,2.0356,2.0855,2,Diameter,,,,,,
EX,SI3,L,2.0356,2.0855,1.6,Diameter,,,,,,
EX,I1,L,2.0356,2.0855,1.45,Diameter,,,,,,
EX,I2,L,2.0356,2.0855,1.15,Diameter,,,,,,
EX,I3,L,2.0356,2.0855,0.9,Diameter,,,,,,
EX,VVS1,M,2.0356,2.0855,3,Diameter,,,,,,
EX,VVS2,M,2.0356,2.0855,0.01,Diameter,,,,,,
EX,VS1,M,2.0356,2.0855,2.8,Diameter,,,,,,
EX,VS2,M,2.0356,2.0855,2.5,Diameter,,,,,,
EX,SI1,M,2.0356,2.0855,2.1,Diameter,,,,,,
EX,SI2,M,2.0356,2.0855,2,Diameter,,,,,,
EX,SI3,M,2.0356,2.0855,1.6,Diameter,,,,,,
EX,I1,M,2.0356,2.0855,1.45,Diameter,,,,,,
EX,I2,M,2.0356,2.0855,1.15,Diameter,,,,,,
EX,I3,M,2.0356,2.0855,0.9,Diameter,,,,,,
EX,VVS1,N,2.0356,2.0855,0,Diameter,,,,,,
EX,VVS2,N,2.0356,2.0855,0,Diameter,,,,,,
EX,VS1,N,2.0356,2.0855,0,Diameter,,,,,,
EX,VS2,N,2.0356,2.0855,0,Diameter,,,,,,
EX,SI1,N,2.0356,2.0855,0,Diameter,,,,,,
EX,SI2,N,2.0356,2.0855,0,Diameter,,,,,,
EX,SI3,N,2.0356,2.0855,0,Diameter,,,,,,
EX,I1,N,2.0356,2.0855,0,Diameter,,,,,,
EX,I2,N,2.0356,2.0855,0,Diameter,,,,,,
EX,I3,N,2.0356,2.0855,0,Diameter,,,,,,
EX,VVS1,D,2.0856,2.1255,6.95,Diameter,,,,,,
EX,VVS2,D,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,D,2.0856,2.1255,5.25,Diameter,,,,,,
EX,VS2,D,2.0856,2.1255,4.8,Diameter,,,,,,
EX,SI1,D,2.0856,2.1255,4.35,Diameter,,,,,,
EX,SI2,D,2.0856,2.1255,4,Diameter,,,,,,
EX,SI3,D,2.0856,2.1255,3.55,Diameter,,,,,,
EX,I1,D,2.0856,2.1255,3.2,Diameter,,,,,,
EX,I2,D,2.0856,2.1255,2.35,Diameter,,,,,,
EX,I3,D,2.0856,2.1255,2,Diameter,,,,,,
EX,VVS1,E,2.0856,2.1255,6.95,Diameter,,,,,,
EX,VVS2,E,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,E,2.0856,2.1255,5.25,Diameter,,,,,,
EX,VS2,E,2.0856,2.1255,4.8,Diameter,,,,,,
EX,SI1,E,2.0856,2.1255,4.35,Diameter,,,,,,
EX,SI2,E,2.0856,2.1255,4,Diameter,,,,,,
EX,SI3,E,2.0856,2.1255,3.55,Diameter,,,,,,
EX,I1,E,2.0856,2.1255,3.2,Diameter,,,,,,
EX,I2,E,2.0856,2.1255,2.35,Diameter,,,,,,
EX,I3,E,2.0856,2.1255,2,Diameter,,,,,,
EX,VVS1,F,2.0856,2.1255,6.4,Diameter,,,,,,
EX,VVS2,F,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,F,2.0856,2.1255,5,Diameter,,,,,,
EX,VS2,F,2.0856,2.1255,4.5,Diameter,,,,,,
EX,SI1,F,2.0856,2.1255,4.2,Diameter,,,,,,
EX,SI2,F,2.0856,2.1255,3.85,Diameter,,,,,,
EX,SI3,F,2.0856,2.1255,3.45,Diameter,,,,,,
EX,I1,F,2.0856,2.1255,3,Diameter,,,,,,
EX,I2,F,2.0856,2.1255,2.35,Diameter,,,,,,
EX,I3,F,2.0856,2.1255,2,Diameter,,,,,,
EX,VVS1,G,2.0856,2.1255,6.4,Diameter,,,,,,
EX,VVS2,G,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,G,2.0856,2.1255,5,Diameter,,,,,,
EX,VS2,G,2.0856,2.1255,4.5,Diameter,,,,,,
EX,SI1,G,2.0856,2.1255,4.2,Diameter,,,,,,
EX,SI2,G,2.0856,2.1255,3.85,Diameter,,,,,,
EX,SI3,G,2.0856,2.1255,3.45,Diameter,,,,,,
EX,I1,G,2.0856,2.1255,3,Diameter,,,,,,
EX,I2,G,2.0856,2.1255,2.35,Diameter,,,,,,
EX,I3,G,2.0856,2.1255,2,Diameter,,,,,,
EX,VVS1,H,2.0856,2.1255,5.45,Diameter,,,,,,
EX,VVS2,H,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,H,2.0856,2.1255,4.35,Diameter,,,,,,
EX,VS2,H,2.0856,2.1255,4.3,Diameter,,,,,,
EX,SI1,H,2.0856,2.1255,3.7,Diameter,,,,,,
EX,SI2,H,2.0856,2.1255,3.4,Diameter,,,,,,
EX,SI3,H,2.0856,2.1255,2.95,Diameter,,,,,,
EX,I1,H,2.0856,2.1255,2.55,Diameter,,,,,,
EX,I2,H,2.0856,2.1255,2.2,Diameter,,,,,,
EX,I3,H,2.0856,2.1255,1.7,Diameter,,,,,,
EX,VVS1,I,2.0856,2.1255,5.45,Diameter,,,,,,
EX,VVS2,I,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,I,2.0856,2.1255,4.35,Diameter,,,,,,
EX,VS2,I,2.0856,2.1255,4.3,Diameter,,,,,,
EX,SI1,I,2.0856,2.1255,3.7,Diameter,,,,,,
EX,SI2,I,2.0856,2.1255,3.4,Diameter,,,,,,
EX,SI3,I,2.0856,2.1255,2.95,Diameter,,,,,,
EX,I1,I,2.0856,2.1255,2.55,Diameter,,,,,,
EX,I2,I,2.0856,2.1255,2.2,Diameter,,,,,,
EX,I3,I,2.0856,2.1255,1.7,Diameter,,,,,,
EX,VVS1,J,2.0856,2.1255,4.45,Diameter,,,,,,
EX,VVS2,J,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,J,2.0856,2.1255,4.2,Diameter,,,,,,
EX,VS2,J,2.0856,2.1255,3.85,Diameter,,,,,,
EX,SI1,J,2.0856,2.1255,3,Diameter,,,,,,
EX,SI2,J,2.0856,2.1255,2.8,Diameter,,,,,,
EX,SI3,J,2.0856,2.1255,2.3,Diameter,,,,,,
EX,I1,J,2.0856,2.1255,2.05,Diameter,,,,,,
EX,I2,J,2.0856,2.1255,1.6,Diameter,,,,,,
EX,I3,J,2.0856,2.1255,1.25,Diameter,,,,,,
EX,VVS1,K,2.0856,2.1255,4.45,Diameter,,,,,,
EX,VVS2,K,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,K,2.0856,2.1255,4.2,Diameter,,,,,,
EX,VS2,K,2.0856,2.1255,3.85,Diameter,,,,,,
EX,SI1,K,2.0856,2.1255,3,Diameter,,,,,,
EX,SI2,K,2.0856,2.1255,2.8,Diameter,,,,,,
EX,SI3,K,2.0856,2.1255,2.3,Diameter,,,,,,
EX,I1,K,2.0856,2.1255,2.05,Diameter,,,,,,
EX,I2,K,2.0856,2.1255,1.6,Diameter,,,,,,
EX,I3,K,2.0856,2.1255,1.25,Diameter,,,,,,
EX,VVS1,L,2.0856,2.1255,3,Diameter,,,,,,
EX,VVS2,L,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,L,2.0856,2.1255,2.8,Diameter,,,,,,
EX,VS2,L,2.0856,2.1255,2.5,Diameter,,,,,,
EX,SI1,L,2.0856,2.1255,2.1,Diameter,,,,,,
EX,SI2,L,2.0856,2.1255,2,Diameter,,,,,,
EX,SI3,L,2.0856,2.1255,1.6,Diameter,,,,,,
EX,I1,L,2.0856,2.1255,1.45,Diameter,,,,,,
EX,I2,L,2.0856,2.1255,1.15,Diameter,,,,,,
EX,I3,L,2.0856,2.1255,0.9,Diameter,,,,,,
EX,VVS1,M,2.0856,2.1255,3,Diameter,,,,,,
EX,VVS2,M,2.0856,2.1255,0.01,Diameter,,,,,,
EX,VS1,M,2.0856,2.1255,2.8,Diameter,,,,,,
EX,VS2,M,2.0856,2.1255,2.5,Diameter,,,,,,
EX,SI1,M,2.0856,2.1255,2.1,Diameter,,,,,,
EX,SI2,M,2.0856,2.1255,2,Diameter,,,,,,
EX,SI3,M,2.0856,2.1255,1.6,Diameter,,,,,,
EX,I1,M,2.0856,2.1255,1.45,Diameter,,,,,,
EX,I2,M,2.0856,2.1255,1.15,Diameter,,,,,,
EX,I3,M,2.0856,2.1255,0.9,Diameter,,,,,,
EX,VVS1,N,2.0856,2.1255,0,Diameter,,,,,,
EX,VVS2,N,2.0856,2.1255,0,Diameter,,,,,,
EX,VS1,N,2.0856,2.1255,0,Diameter,,,,,,
EX,VS2,N,2.0856,2.1255,0,Diameter,,,,,,
EX,SI1,N,2.0856,2.1255,0,Diameter,,,,,,
EX,SI2,N,2.0856,2.1255,0,Diameter,,,,,,
EX,SI3,N,2.0856,2.1255,0,Diameter,,,,,,
EX,I1,N,2.0856,2.1255,0,Diameter,,,,,,
EX,I2,N,2.0856,2.1255,0,Diameter,,,,,,
EX,I3,N,2.0856,2.1255,0,Diameter,,,,,,
EX,VVS1,D,2.1256,2.1855,6.85,Diameter,,,,,,
EX,VVS2,D,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,D,2.1256,2.1855,5,Diameter,,,,,,
EX,VS2,D,2.1256,2.1855,4.6,Diameter,,,,,,
EX,SI1,D,2.1256,2.1855,4.2,Diameter,,,,,,
EX,SI2,D,2.1256,2.1855,3.85,Diameter,,,,,,
EX,SI3,D,2.1256,2.1855,3.45,Diameter,,,,,,
EX,I1,D,2.1256,2.1855,3.15,Diameter,,,,,,
EX,I2,D,2.1256,2.1855,2.35,Diameter,,,,,,
EX,I3,D,2.1256,2.1855,2,Diameter,,,,,,
EX,VVS1,E,2.1256,2.1855,6.85,Diameter,,,,,,
EX,VVS2,E,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,E,2.1256,2.1855,5,Diameter,,,,,,
EX,VS2,E,2.1256,2.1855,4.6,Diameter,,,,,,
EX,SI1,E,2.1256,2.1855,4.2,Diameter,,,,,,
EX,SI2,E,2.1256,2.1855,3.85,Diameter,,,,,,
EX,SI3,E,2.1256,2.1855,3.45,Diameter,,,,,,
EX,I1,E,2.1256,2.1855,3.15,Diameter,,,,,,
EX,I2,E,2.1256,2.1855,2.35,Diameter,,,,,,
EX,I3,E,2.1256,2.1855,2,Diameter,,,,,,
EX,VVS1,F,2.1256,2.1855,6.1,Diameter,,,,,,
EX,VVS2,F,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,F,2.1256,2.1855,4.8,Diameter,,,,,,
EX,VS2,F,2.1256,2.1855,4.5,Diameter,,,,,,
EX,SI1,F,2.1256,2.1855,4.2,Diameter,,,,,,
EX,SI2,F,2.1256,2.1855,3.85,Diameter,,,,,,
EX,SI3,F,2.1256,2.1855,3.45,Diameter,,,,,,
EX,I1,F,2.1256,2.1855,3.15,Diameter,,,,,,
EX,I2,F,2.1256,2.1855,2.35,Diameter,,,,,,
EX,I3,F,2.1256,2.1855,2,Diameter,,,,,,
EX,VVS1,G,2.1256,2.1855,6.1,Diameter,,,,,,
EX,VVS2,G,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,G,2.1256,2.1855,4.8,Diameter,,,,,,
EX,VS2,G,2.1256,2.1855,4.5,Diameter,,,,,,
EX,SI1,G,2.1256,2.1855,4.2,Diameter,,,,,,
EX,SI2,G,2.1256,2.1855,3.85,Diameter,,,,,,
EX,SI3,G,2.1256,2.1855,3.45,Diameter,,,,,,
EX,I1,G,2.1256,2.1855,3.15,Diameter,,,,,,
EX,I2,G,2.1256,2.1855,2.35,Diameter,,,,,,
EX,I3,G,2.1256,2.1855,2,Diameter,,,,,,
EX,VVS1,H,2.1256,2.1855,5.45,Diameter,,,,,,
EX,VVS2,H,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,H,2.1256,2.1855,4.35,Diameter,,,,,,
EX,VS2,H,2.1256,2.1855,4.3,Diameter,,,,,,
EX,SI1,H,2.1256,2.1855,3.7,Diameter,,,,,,
EX,SI2,H,2.1256,2.1855,3.4,Diameter,,,,,,
EX,SI3,H,2.1256,2.1855,2.95,Diameter,,,,,,
EX,I1,H,2.1256,2.1855,2.55,Diameter,,,,,,
EX,I2,H,2.1256,2.1855,2.2,Diameter,,,,,,
EX,I3,H,2.1256,2.1855,1.7,Diameter,,,,,,
EX,VVS1,I,2.1256,2.1855,5.45,Diameter,,,,,,
EX,VVS2,I,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,I,2.1256,2.1855,4.35,Diameter,,,,,,
EX,VS2,I,2.1256,2.1855,4.3,Diameter,,,,,,
EX,SI1,I,2.1256,2.1855,3.7,Diameter,,,,,,
EX,SI2,I,2.1256,2.1855,3.4,Diameter,,,,,,
EX,SI3,I,2.1256,2.1855,2.95,Diameter,,,,,,
EX,I1,I,2.1256,2.1855,2.55,Diameter,,,,,,
EX,I2,I,2.1256,2.1855,2.2,Diameter,,,,,,
EX,I3,I,2.1256,2.1855,1.7,Diameter,,,,,,
EX,VVS1,J,2.1256,2.1855,4.35,Diameter,,,,,,
EX,VVS2,J,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,J,2.1256,2.1855,4.05,Diameter,,,,,,
EX,VS2,J,2.1256,2.1855,3.65,Diameter,,,,,,
EX,SI1,J,2.1256,2.1855,3,Diameter,,,,,,
EX,SI2,J,2.1256,2.1855,2.8,Diameter,,,,,,
EX,SI3,J,2.1256,2.1855,2.3,Diameter,,,,,,
EX,I1,J,2.1256,2.1855,2.05,Diameter,,,,,,
EX,I2,J,2.1256,2.1855,1.6,Diameter,,,,,,
EX,I3,J,2.1256,2.1855,1.25,Diameter,,,,,,
EX,VVS1,K,2.1256,2.1855,4.35,Diameter,,,,,,
EX,VVS2,K,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,K,2.1256,2.1855,4.05,Diameter,,,,,,
EX,VS2,K,2.1256,2.1855,3.65,Diameter,,,,,,
EX,SI1,K,2.1256,2.1855,3,Diameter,,,,,,
EX,SI2,K,2.1256,2.1855,2.8,Diameter,,,,,,
EX,SI3,K,2.1256,2.1855,2.3,Diameter,,,,,,
EX,I1,K,2.1256,2.1855,2.05,Diameter,,,,,,
EX,I2,K,2.1256,2.1855,1.6,Diameter,,,,,,
EX,I3,K,2.1256,2.1855,1.25,Diameter,,,,,,
EX,VVS1,L,2.1256,2.1855,3,Diameter,,,,,,
EX,VVS2,L,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,L,2.1256,2.1855,2.8,Diameter,,,,,,
EX,VS2,L,2.1256,2.1855,2.5,Diameter,,,,,,
EX,SI1,L,2.1256,2.1855,2.1,Diameter,,,,,,
EX,SI2,L,2.1256,2.1855,2,Diameter,,,,,,
EX,SI3,L,2.1256,2.1855,1.6,Diameter,,,,,,
EX,I1,L,2.1256,2.1855,1.45,Diameter,,,,,,
EX,I2,L,2.1256,2.1855,1.15,Diameter,,,,,,
EX,I3,L,2.1256,2.1855,0.9,Diameter,,,,,,
EX,VVS1,M,2.1256,2.1855,3,Diameter,,,,,,
EX,VVS2,M,2.1256,2.1855,0.01,Diameter,,,,,,
EX,VS1,M,2.1256,2.1855,2.8,Diameter,,,,,,
EX,VS2,M,2.1256,2.1855,2.5,Diameter,,,,,,
EX,SI1,M,2.1256,2.1855,2.1,Diameter,,,,,,
EX,SI2,M,2.1256,2.1855,2,Diameter,,,,,,
EX,SI3,M,2.1256,2.1855,1.6,Diameter,,,,,,
EX,I1,M,2.1256,2.1855,1.45,Diameter,,,,,,
EX,I2,M,2.1256,2.1855,1.15,Diameter,,,,,,
EX,I3,M,2.1256,2.1855,0.9,Diameter,,,,,,
EX,VVS1,N,2.1256,2.1855,0,Diameter,,,,,,
EX,VVS2,N,2.1256,2.1855,0,Diameter,,,,,,
EX,VS1,N,2.1256,2.1855,0,Diameter,,,,,,
EX,VS2,N,2.1256,2.1855,0,Diameter,,,,,,
EX,SI1,N,2.1256,2.1855,0,Diameter,,,,,,
EX,SI2,N,2.1256,2.1855,0,Diameter,,,,,,
EX,SI3,N,2.1256,2.1855,0,Diameter,,,,,,
EX,I1,N,2.1256,2.1855,0,Diameter,,,,,,
EX,I2,N,2.1256,2.1855,0,Diameter,,,,,,
EX,I3,N,2.1256,2.1855,0,Diameter,,,,,,
EX,VVS1,D,2.1856,2.2355,6.5,Diameter,,,,,,
EX,VVS2,D,2.1856,2.2355,0.01,Diameter,,,,,,
EX,VS1,D,2.1856,2.2355,5,Diameter,,,,,,
EX,VS2,D,2.1856,2.2355,4.6,Diameter,,,,,,
EX,SI1,D,2.1856,2.2355,4.2,Diameter,,,,,,
EX,SI2,D,2.1856,2.2355,3.85,Diameter,,,,,,
